date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
28/11/2015,14,19,2,7.224,3.912,5.553,2,7,0,1
28/11/2015,21,20,2,8.275,3.23,2.515,16,9,-1,1
29/11/2015,13,22,2,7.077,4.069,6.776,6,8,1,-1
29/11/2015,23,6,1,7.79,3.246,2.817,5,1,-1,-1
29/11/2015,26,25,1,7.501,3.219,3.646,12,13,0,1
05/12/2015,6,2,0,6.936,4.562,8.237,1,19,1,-1
05/12/2015,15,26,1,6.934,4.041,7.827,4,12,1,0
05/12/2015,19,1,1,6.96,3.845,6.565,7,17,0,1
05/12/2015,20,14,2,9.723,3.995,2.085,9,2,-1,0
05/12/2015,22,12,0,7.763,3.271,2.684,8,14,-1,1
05/12/2015,24,18,2,7.332,3.216,3.432,18,20,-1,-1
05/12/2015,25,23,1,9.117,3.606,2.172,13,5,1,-1
06/12/2015,17,13,2,10.125,4.273,2.062,15,6,1,1
07/12/2015,8,7,1,7.056,3.301,3.52,11,10,-1,1
12/12/2015,2,15,2,8.561,3.329,2.415,18,4,-1,1
12/12/2015,7,19,2,7.979,3.165,2.882,10,7,-1,-1
12/12/2015,18,8,1,8.24,3.351,2.564,19,11,0,1
12/12/2015,21,24,0,8.178,3.157,2.689,16,19,-1,1
12/12/2015,26,20,1,8.016,3.148,2.838,12,9,0,1
13/12/2015,13,25,1,7.26,4.15,8.18,6,13,1,0
13/12/2015,23,17,0,7.407,4.577,7.911,5,15,-1,0
14/12/2015,12,6,2,8.202,3.388,2.438,14,1,-1,1
19/12/2015,8,12,0,7.559,3.393,3.344,11,14,-1,-1
19/12/2015,15,18,0,7.161,4.037,7.228,4,18,1,0
19/12/2015,17,1,1,7.365,3.247,3.71,15,17,-1,1
19/12/2015,19,23,0,7.942,3.235,2.74,7,5,-1,1
19/12/2015,20,7,0,7.792,3.127,2.992,9,10,1,1
19/12/2015,25,2,0,7.856,3.158,2.878,13,19,0,-1
20/12/2015,22,26,1,7.315,3.189,3.535,8,12,-1,1
20/12/2015,24,13,2,8.915,3.499,2.219,20,6,-1,0
21/12/2015,0,14,2,7.572,3.325,2.931,3,2,0,1
26/12/2015,1,26,1,7.83,3.15,2.767,17,12,0,1
26/12/2015,2,7,1,7.671,3.242,2.913,19,10,-1,0
26/12/2015,6,24,1,7.162,4.082,6.767,1,19,1,1
26/12/2015,13,12,2,7.45,3.507,3.647,6,14,-1,1
26/12/2015,17,8,0,8.384,3.447,2.363,15,11,-1,1
26/12/2015,19,0,2,8.639,3.472,2.279,7,3,0,-1
26/12/2015,20,15,2,8.335,3.227,2.47,9,4,1,-1
26/12/2015,22,25,2,7.419,3.168,4.034,8,13,1,0
26/12/2015,23,18,2,7.055,4.157,7.098,5,18,-1,1
28/12/2015,0,2,2,7.277,4.282,7.247,3,20,-1,-1
28/12/2015,7,22,1,7.714,3.212,3.716,10,8,1,-1
28/12/2015,8,20,0,7.648,3.331,3.841,11,9,1,-1
28/12/2015,15,6,1,8.013,3.162,2.871,4,1,-1,-1
28/12/2015,18,1,2,7.715,3.272,3.621,18,17,-1,-1
28/12/2015,24,23,0,8.957,3.44,2.283,19,5,1,1
28/12/2015,25,17,2,7.807,3.151,3.416,13,15,1,-1
28/12/2015,26,19,2,8.625,3.337,2.372,12,7,1,1
29/12/2015,12,14,1,9.133,3.943,2.114,14,2,-1,1
30/12/2015,21,13,0,9.811,3.932,2.117,16,6,1,1
02/01/2016,12,2,1,7.31,3.407,3.838,14,19,-1,-1
02/01/2016,15,22,2,7.073,3.704,6.476,4,8,1,1
02/01/2016,18,19,2,8.172,3.326,2.458,18,7,0,0
02/01/2016,21,1,2,7.668,3.12,3.004,16,17,1,0
02/01/2016,24,14,0,9.689,4.007,2.079,18,2,0,-1
02/01/2016,25,20,2,7.893,3.083,2.774,13,9,0,1
02/01/2016,26,13,2,8.771,3.506,2.252,12,6,1,0
03/01/2016,7,6,0,8.675,3.426,2.299,10,1,0,0
03/01/2016,8,23,1,7.904,3.334,2.641,11,5,-1,-1
