Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
19/12/2015,West Brom,Bournemouth,L,7.856,3.158,2.878,13,20,0,-1
20/12/2015,Swansea,West Ham,D,7.315,3.189,3.535,8,12,-1,1
20/12/2015,Watford,Liverpool,W,8.915,3.499,2.219,20,6,-1,0
21/12/2015,Arsenal,Man City,W,7.572,3.325,2.931,3,2,0,1
26/12/2015,Aston Villa,West Ham,D,7.83,3.15,2.767,17,12,0,1
26/12/2015,Bournemouth,Crystal Palace,D,7.671,3.242,2.913,20,10,-1,0
26/12/2015,Chelsea,Watford,D,7.162,4.082,6.767,1,20,1,1
26/12/2015,Liverpool,Leicester,W,7.45,3.507,3.647,6,14,-1,1
26/12/2015,Man City,Sunderland,W,7.199,6.082,13.055,2,16,-1,-1
26/12/2015,Newcastle,Everton,L,8.384,3.447,2.363,15,11,-1,1
26/12/2015,Southampton,Arsenal,W,8.639,3.472,2.279,7,3,0,-1
26/12/2015,Stoke,Man United,W,8.335,3.227,2.47,9,4,1,-1
26/12/2015,Swansea,West Brom,W,7.419,3.168,4.034,8,13,1,0
26/12/2015,Tottenham,Norwich,W,7.055,4.157,7.098,5,20,-1,1
28/12/2015,Arsenal,Bournemouth,W,7.277,4.282,7.247,3,20,-1,-1
28/12/2015,Crystal Palace,Swansea,D,7.714,3.212,3.716,10,8,1,-1
28/12/2015,Everton,Stoke,L,7.648,3.331,3.841,11,9,1,-1
28/12/2015,Man United,Chelsea,D,8.013,3.162,2.871,4,1,-1,-1
28/12/2015,Norwich,Aston Villa,W,7.715,3.272,3.621,20,17,-1,-1
28/12/2015,Watford,Tottenham,L,8.957,3.44,2.283,20,5,1,1
28/12/2015,West Brom,Newcastle,W,7.807,3.151,3.416,13,15,1,-1
28/12/2015,West Ham,Southampton,W,8.625,3.337,2.372,12,7,1,1
29/12/2015,Leicester,Man City,D,9.133,3.943,2.114,14,2,-1,1
30/12/2015,Sunderland,Liverpool,L,9.811,3.932,2.117,16,6,1,1
02/01/2016,Arsenal,Newcastle,W,7.126,5.26,10.3,3,15,0,0
02/01/2016,Leicester,Bournemouth,D,7.31,3.407,3.838,14,20,-1,-1
02/01/2016,Man United,Swansea,W,7.073,3.704,6.476,4,8,1,1
02/01/2016,Norwich,Southampton,W,8.172,3.326,2.458,20,7,0,0
02/01/2016,Sunderland,Aston Villa,W,7.668,3.12,3.004,16,17,1,0
02/01/2016,Watford,Man City,L,9.689,4.007,2.079,20,2,0,-1
02/01/2016,West Brom,Stoke,W,7.893,3.083,2.774,13,9,0,1
02/01/2016,West Ham,Liverpool,W,8.771,3.506,2.252,12,6,1,0
03/01/2016,Crystal Palace,Chelsea,L,8.675,3.426,2.299,10,1,0,0
03/01/2016,Everton,Tottenham,D,7.904,3.334,2.641,11,5,-1,-1
12/01/2016,Aston Villa,Crystal Palace,W,8.136,3.171,2.57,17,10,0,0
12/01/2016,Bournemouth,West Ham,L,7.374,3.345,3.671,20,12,-1,0
12/01/2016,Newcastle,Man United,D,9.622,3.778,2.139,15,4,0,1
13/01/2016,Chelsea,West Brom,D,7.048,4.064,7.638,1,13,-1,1
13/01/2016,Liverpool,Arsenal,D,8.007,3.317,2.573,6,3,0,0
13/01/2016,Man City,Everton,D,7.122,4.17,5.825,2,11,-1,0
13/01/2016,Southampton,Watford,W,7.334,3.237,3.866,7,20,0,0
13/01/2016,Stoke,Norwich,W,7.35,3.177,3.829,9,20,0,1
13/01/2016,Swansea,Sunderland,L,7.195,3.387,4.649,8,16,-1,0
13/01/2016,Tottenham,Leicester,L,7.1,3.51,4.518,5,14,0,1
16/01/2016,Aston Villa,Leicester,D,8.039,3.351,2.357,17,14,-1,1
16/01/2016,Bournemouth,Norwich,W,6.834,3.317,4.123,20,20,1,1
16/01/2016,Chelsea,Everton,D,6.784,3.512,4.325,1,11,1,-1
16/01/2016,Man City,Crystal Palace,W,6.641,4.509,7.922,2,10,-1,1
16/01/2016,Newcastle,West Ham,W,7.319,3.228,2.838,15,12,-1,-1
16/01/2016,Southampton,West Brom,W,6.719,3.357,5.091,7,13,0,1
16/01/2016,Tottenham,Sunderland,W,6.626,4.54,8.513,5,16,-1,-1
17/01/2016,Liverpool,Man United,L,7.149,3.144,3.166,6,4,0,1
17/01/2016,Stoke,Arsenal,D,8.574,3.586,2.19,9,3,0,-1
18/01/2016,Swansea,Watford,W,7.06,3.135,3.107,8,20,0,1
23/01/2016,Crystal Palace,Tottenham,L,8.251,3.35,2.336,10,5,1,-1
23/01/2016,Leicester,Stoke,W,7.161,3.215,3.613,14,9,1,0
23/01/2016,Man United,Southampton,L,7.033,3.229,4.299,4,7,-1,-1
23/01/2016,Norwich,Liverpool,L,8.751,3.526,2.211,20,6,1,1
23/01/2016,Sunderland,Bournemouth,D,7.817,3.22,2.555,16,20,1,-1
23/01/2016,Watford,Newcastle,W,7.171,3.257,3.558,20,15,1,-1
23/01/2016,West Brom,Aston Villa,D,7.21,3.066,3.62,13,17,-1,-1
23/01/2016,West Ham,Man City,D,9.361,4.021,2.084,12,2,0,1
24/01/2016,Arsenal,Chelsea,L,7.195,3.265,3.607,3,1,1,-1
24/01/2016,Everton,Swansea,L,6.941,3.501,4.932,11,8,1,-1
02/02/2016,Arsenal,Southampton,D,7.301,3.368,4.715,3,7,-1,0
02/02/2016,Crystal Palace,Bournemouth,L,7.766,3.121,3.047,10,20,1,1
02/02/2016,Leicester,Liverpool,W,7.811,3.207,2.783,14,6,-1,-1
02/02/2016,Man United,Stoke,W,7.253,3.43,5.311,4,9,0,-1
02/02/2016,Norwich,Tottenham,L,9.223,3.733,2.138,20,5,-1,-1
02/02/2016,Sunderland,Man City,L,11.467,4.862,2.104,16,2,1,1
02/02/2016,West Brom,Swansea,D,7.88,2.99,2.983,13,8,1,1
02/02/2016,West Ham,Aston Villa,W,7.377,3.28,4.165,12,17,-1,-1
03/02/2016,Everton,Newcastle,W,7.177,3.71,4.81,11,15,1,1
03/02/2016,Watford,Chelsea,D,8.979,3.485,2.223,20,1,-1,1
06/02/2016,Aston Villa,Norwich,W,7.302,3.116,3.062,17,20,-1,-1
06/02/2016,Liverpool,Sunderland,D,6.706,4.14,7.406,6,16,0,-1
06/02/2016,Man City,Leicester,L,6.793,3.769,5.359,2,14,0,1
06/02/2016,Newcastle,West Brom,W,7.119,3.163,3.448,15,13,0,-1
06/02/2016,Southampton,West Ham,W,6.379,3.429,4.829,7,12,1,0
06/02/2016,Stoke,Everton,L,7.473,3.233,2.783,9,11,1,0
06/02/2016,Swansea,Crystal Palace,D,7.151,3.115,3.367,8,10,0,0
06/02/2016,Tottenham,Watford,W,6.607,3.866,6.642,5,20,1,0
07/02/2016,Bournemouth,Arsenal,L,8.415,3.478,2.245,20,3,0,0
07/02/2016,Chelsea,Man United,D,7.09,3.13,3.646,1,4,0,0
13/02/2016,Bournemouth,Stoke,L,7.05,3.187,3.689,20,9,-1,-1
13/02/2016,Chelsea,Newcastle,W,6.729,4.173,6.841,1,15,1,-1
13/02/2016,Crystal Palace,Watford,L,7.175,3.109,3.349,10,20,0,1
13/02/2016,Everton,West Brom,L,6.741,3.754,6.335,11,13,1,1
13/02/2016,Norwich,West Ham,D,7.36,3.233,2.956,20,12,1,0
13/02/2016,Sunderland,Man United,W,9.349,3.791,2.14,16,4,-1,1
13/02/2016,Swansea,Southampton,L,7.794,3.195,2.551,8,7,-1,1
14/02/2016,Arsenal,Leicester,W,6.887,3.677,4.353,3,14,-1,-1
14/02/2016,Aston Villa,Liverpool,L,8.984,3.661,2.186,17,6,0,1
14/02/2016,Man City,Tottenham,L,7.079,3.365,3.532,2,5,-1,0
27/02/2016,Leicester,Norwich,W,7.082,3.95,5.714,14,20,0,1
27/02/2016,Southampton,Chelsea,L,7.983,3.201,2.605,7,1,-1,0
27/02/2016,Stoke,Aston Villa,W,7.117,3.418,5.285,9,17,-1,-1
27/02/2016,Watford,Bournemouth,D,7.614,3.142,3.038,20,20,1,1
27/02/2016,West Brom,Crystal Palace,W,7.828,3.062,2.829,13,10,0,-1
27/02/2016,West Ham,Sunderland,W,7.238,3.383,4.153,12,16,0,-1
28/02/2016,Tottenham,Swansea,W,6.587,3.895,7.35,5,8,1,0
28/02/2016,Man United,Arsenal,W,7.714,3.227,2.52,4,3,1,1
01/03/2016,Aston Villa,Everton,L,9.098,3.677,2.176,17,11,-1,1
